TIME;RPM;MAP;Boost Target;Short term trim corr.;Lambda target;Lambda;Air flow;TPS;DBW pos;VE;
0.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.04;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.08;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.12;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.16;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
0.32;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.40;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.44;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.48;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.56;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.60;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.68;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.72;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.76;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.80;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.88;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
0.92;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
0.96;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.00;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.04;0;99;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.08;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.12;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.16;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.20;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.24;0;99;0;100.000;0.920;1.227;0;0;19.500;81.600;
1.28;0;99;0;100.000;0.920;1.227;0;0;19.500;81.700;
1.32;0;99;0;100.000;0.920;1.227;0;0;19.500;81.700;
1.36;0;99;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.40;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.44;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.48;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.52;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.56;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.60;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.64;0;100;0;100.000;0.920;1.227;0;0;19.500;82.000;
1.68;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.72;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.76;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.80;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.84;0;100;0;100.000;0.920;1.227;0;0;19.500;81.900;
1.88;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.92;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
1.96;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
2.00;0;100;0;100.000;0.920;1.227;0;0;19.500;81.800;
2.04;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.08;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.12;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.16;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.20;0;100;0;100.000;0.920;1.227;0;0;19.500;81.700;
2.24;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.28;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.32;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.36;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
2.40;0;100;0;100.000;0.920;1.227;0;0;19.500;81.600;
